Label,area0,area1,area2,area3,area4
Parasitized,2226,164,0,2,0.5
Parasitized,148,13402.5,0,0,0
Parasitized,141,46.5,61.5,28.5,268
Parasitized,168.5,12962.5,0,0,0
Parasitized,236.5,16035.5,0,0,0
Parasitized,176,15794,0,0,0
Parasitized,173,18160.5,0,0,0
Parasitized,183.5,11990.5,0,0,0
Parasitized,163,13,15723,0,0
Parasitized,178.5,12564.5,0,0,0
Parasitized,96.5,229,15354,0,0
Parasitized,251,55.5,175,49,179.5
Parasitized,250,16007,0,0,0
Parasitized,20.5,257.5,12459,0,0
Parasitized,104,132.5,12311,0,0
Parasitized,319.5,11864.5,0,0,0
Parasitized,7,212,16839,0,0
Parasitized,13374,0,0,0,0
Parasitized,11672,0,0,0,0
Parasitized,200,9834,0,0,0
Parasitized,82,130.5,13.5,190,20.5
Parasitized,205,37,5.5,11497.5,0
Parasitized,91.5,13619.5,0,0,0
Parasitized,31,164.5,15909.5,0,0
Parasitized,4,211,86.5,12469.5,0
Parasitized,45,74,104,13586.5,0
Parasitized,227,38,14,242.5,12167.5
Parasitized,185,164.5,34,26,23.5
Parasitized,152,15225,0,0,0
Parasitized,199,12002.5,0,0,0
Parasitized,2,214.5,18741.5,0,0
Parasitized,119.5,15457,0,0,0
Parasitized,140.5,10575.5,0,0,0
Parasitized,20,278.5,11552.5,0,0
Parasitized,189.5,15808,0,0,0
Parasitized,180.5,66,13528.5,0,0
Parasitized,186,18745.5,0,0,0
Parasitized,124,14737.5,0,0,0
Parasitized,28.5,141.5,14023.5,0,0
Parasitized,126,6,273,20232,0
Parasitized,223.5,391,16.5,13077,0
Parasitized,334.5,7418.5,0,0,0
Parasitized,223.5,14917,0,0,0
Parasitized,32,149.5,506,12345,0
Parasitized,230.5,12019,0,0,0
Parasitized,166.5,211.5,42.5,14510.5,0
Parasitized,15,21,439.5,242.5,26.5
Parasitized,13.5,158.5,12738.5,0,0
Parasitized,156.5,10081,0,0,0
Parasitized,23.5,22.5,12235.5,0,0
Parasitized,170.5,13400.5,0,0,0
Parasitized,217.5,184,30,174.5,12936
Parasitized,18,15,148.5,120,12635
Parasitized,102.5,15,150.5,5.5,11767.5
Parasitized,11617.5,0,0,0,0
Parasitized,56.5,5.5,10291.5,0,0
Parasitized,217.5,14802,0,0,0
Parasitized,198,10659.5,0,0,0
Parasitized,165,12325,0,0,0
Parasitized,218,8894,0,0,0
Parasitized,179,14428.5,0,0,0
Parasitized,17,188.5,0.5,16218.5,0
Parasitized,266.5,15990.5,0,0,0
Parasitized,135,8991,0,0,0
Parasitized,174.5,17822.5,0,0,0
Parasitized,173.5,15819,0,0,0
Parasitized,303,32.5,12808,0,0
Parasitized,29,13976.5,0,0,0
Parasitized,151.5,140,134,15224,0
Parasitized,41.5,6904,0,0,0
Parasitized,102.5,5.5,252.5,12988.5,0
Parasitized,137,37.5,0,168,133
Parasitized,276,85.5,4,230,42.5
Parasitized,11,298,11815.5,0,0
Parasitized,175,318.5,14312.5,0,0
Parasitized,10604,0,0,0,0
Parasitized,107.5,150.5,168,9865,0
Parasitized,98.5,12265.5,0,0,0
Parasitized,16,162,12356.5,0,0
Parasitized,180.5,9949,241.5,0,0
Parasitized,14,9968,0,0,0
Parasitized,231,11007.5,0,0,0
Parasitized,815,29.5,2,2,13221
Parasitized,54.5,229,29.5,16.5,16732
Parasitized,150.5,98.5,16.5,13964.5,0
Parasitized,145.5,141,15368,0,0
Parasitized,47.5,162,22.5,12459,0
Parasitized,164,17514,0,0,0
Parasitized,181.5,11959,0,0,0
Parasitized,142.5,14252,0,0,0
Parasitized,193,13887.5,0,0,0
Parasitized,154,14606,0,0,0
Parasitized,0,215,0,53.5,19467
Parasitized,134.5,13519,0,0,0
Parasitized,5.5,222,2,192,12273.5
Parasitized,16993.5,0,0,0,0
Parasitized,186.5,16700.5,0,0,0
Parasitized,11,53,13.5,190,11
Parasitized,119,12076,0,0,0
Parasitized,193,13621,0,0,0
Parasitized,148.5,53,14370,0,0
Parasitized,203.5,17857,0,0,0
Parasitized,251,22,17274.5,0,0
Parasitized,156.5,12808,0,0,0
Parasitized,77.5,185.5,15086,0,0
Parasitized,161,13649,0,0,0
Parasitized,231,0.5,12,2.5,9
Parasitized,161.5,7351.5,0,0,0
Parasitized,13,271,16721.5,0,0
Parasitized,227.5,205,16104.5,0,0
Parasitized,183.5,16135.5,0,0,0
Parasitized,167.5,14799.5,0,0,0
Parasitized,28.5,69,47.5,134.5,13079.5
Parasitized,95,146.5,16088,0,0
Parasitized,169.5,289,26.5,102.5,4
Parasitized,247.5,13432,0,0,0
Parasitized,196,14938,0,0,0
Parasitized,158.5,16,82,12570.5,0
Parasitized,209,17375.5,0,0,0
Parasitized,0.5,5459.5,0,0,0
Parasitized,42,358.5,12743.5,153.5,0
Parasitized,26,5.5,7664.5,0,0
Parasitized,206,9997.5,0,0,0
Parasitized,160,209,15475.5,0,0
Parasitized,161.5,14456.5,0,0,0
Parasitized,2,7,2,257,16256
Parasitized,217.5,17406,0,0,0
Parasitized,228,205.5,4,4,11.5
Parasitized,30,259.5,174.5,13047,0
Parasitized,15,230.5,232,8.5,14626.5
Parasitized,198,13968,0,0,0
Parasitized,132.5,7431,0,0,0
Parasitized,0,6651.5,0,0,0
Parasitized,15,7,6667,0,0
Parasitized,167.5,13.5,11879.5,0,0
Parasitized,201,0,307.5,25,9832
Parasitized,249.5,2,15297.5,0,0
Parasitized,15278.5,0,0,0,0
Parasitized,8,2,229.5,20,9057.5
Parasitized,244.5,12569,0,0,0
Parasitized,244.5,9615.5,0,0,0
Parasitized,158.5,16224,0,0,0
Parasitized,225.5,14409,0,0,0
Parasitized,222.5,14996,0,0,0
Parasitized,16123,0,0,0,0
Parasitized,191.5,11.5,7,52,13202.5
Parasitized,11784,0,0,0,0
Parasitized,224,12233,0,0,0
Parasitized,498,2,14169,0,0
Parasitized,1443.5,10384.5,0,0,0
Parasitized,33.5,10,309,18328,0
Parasitized,158.5,13611,0,0,0
Parasitized,12423,0,0,0,0
Parasitized,112.5,155.5,15,62,16
Parasitized,332.5,124,2,15019,0
Parasitized,156,18.5,144.5,28.5,14550.5
Parasitized,176.5,72,15762,0,0
Parasitized,39,342.5,14570,235,0
Parasitized,221.5,22403.5,0,0,0
Parasitized,61.5,138.5,16092,0,0
Parasitized,390.5,197,16798,0,0
Parasitized,181.5,11839.5,0,0,0
Parasitized,649,26,12295,0,0
Parasitized,546.5,8.5,15447.5,0,0
Parasitized,4,222.5,9410.5,0,0
Parasitized,12025,0,0,0,0
Parasitized,239.5,13555.5,0,0,0
Parasitized,96,69,10963,0,0
Parasitized,260,15648,1,0,0
Parasitized,215,12308.5,0,0,0
Parasitized,16511,0,0,0,0
Parasitized,8.5,350,477.5,14463.5,0
Parasitized,16,132,4,47.5,78
Parasitized,134.5,12422.5,0,0,0
Parasitized,119.5,12255,0,0,0
Parasitized,31.5,77,12329.5,0,0
Parasitized,279,13853.5,0,0,0
Parasitized,13480.5,0,0,0,0
Parasitized,14764.5,0,0,0,0
Parasitized,185,15502.5,0,0,0
Parasitized,103.5,144.5,62,10878.5,0
Parasitized,1,35,21908,0,0
Parasitized,121.5,13737.5,0,0,0
Parasitized,140.5,37,168,14373,0
Parasitized,127.5,94.5,44,40,148
Parasitized,130,15438.5,0,0,0
Parasitized,177.5,122.5,14440.5,0,0
Parasitized,43,35,11760,0,0
Parasitized,85,15515,0,0,0
Parasitized,16.5,10,136,124.5,60
Parasitized,179,52,19.5,9609.5,0
Parasitized,226.5,10009,0,0,0
Parasitized,11.5,14763.5,0,0,0
Parasitized,173,13389.5,0,0,0
Parasitized,234,435.5,229,9862.5,0
Parasitized,260,18509.5,0,0,0
Parasitized,176.5,10069.5,0,0,0
Parasitized,131,190,14271.5,0,0
Parasitized,160,15444.5,0,0,0
Parasitized,124.5,8624.5,0,0,0
Parasitized,179.5,11953,0,0,0
Parasitized,186.5,225.5,20824,0,0
Parasitized,1158,14266.5,0,0,0
Parasitized,146.5,14629.5,0,0,0
Parasitized,195,15613.5,0,0,0
Parasitized,191.5,8.5,13245,0,0
Parasitized,15.5,253.5,6214.5,0,0
Parasitized,165,14873,0,0,0
Parasitized,16,21,204,77,15252
Parasitized,264,15305.5,0,0,0
Parasitized,791,74.5,11,12.5,2
Parasitized,99.5,297.5,14891.5,0,0
Parasitized,11347.5,0,0,0,0
Parasitized,2,168.5,12973,0,0
Parasitized,31,28.5,526,15062.5,0
Parasitized,4,22,275,15906.5,0
Parasitized,32.5,188.5,12181.5,0,0
Parasitized,167.5,44.5,22,18080.5,0
Parasitized,181,16628.5,0,0,0
Parasitized,50.5,243.5,36.5,74,70
Parasitized,157,18797.5,0,0,0
Parasitized,169,15785,0,0,0
Parasitized,14,137.5,9456.5,0,0
Parasitized,106,98,11427,0,0
Parasitized,213.5,11453.5,0,0,0
Parasitized,93.5,185,13405,0,0
Parasitized,2,94.5,12671.5,0,0
Parasitized,397.5,18824.5,0,0,0
Parasitized,224.5,22904.5,0,0,0
Parasitized,11,32.5,167,18279,0
Parasitized,155,12408,0,0,0
Parasitized,198,264,16407,0,0
Parasitized,107.5,34,11461.5,0,0
Parasitized,156,13506.5,0,0,0
Parasitized,108.5,13135,0,0,0
Parasitized,204,16739,0,0,0
Parasitized,14280,0,0,0,0
Parasitized,308,12070,0,0,0
Parasitized,29,2,22.5,14569,0
Parasitized,161.5,17787,0,0,0
Parasitized,117.5,13171.5,0,0,0
Parasitized,157.5,12682.5,0,0,0
Parasitized,193,8428.5,0,0,0
Parasitized,192.5,13496.5,0,0,0
Parasitized,269,14423,0,0,0
Parasitized,22,260.5,16,427.5,2
Parasitized,186.5,52.5,14513,0,0
Parasitized,181.5,16774,0,0,0
Parasitized,198.5,88,280,9909.5,0
Parasitized,191,16636.5,0,0,0
Parasitized,2,2,12.5,58,6
Parasitized,21.5,173,15960.5,0,0
Parasitized,240.5,58,10444.5,0,0
Parasitized,83.5,16523.5,0,0,0
Parasitized,13340,0,0,0,0
Parasitized,128,13750,0,0,0
Parasitized,406.5,417,18.5,19,20
Parasitized,37.5,424,228.5,237,4
Parasitized,6,7717,15018,0,0
Parasitized,123,26.5,623.5,99,4
Parasitized,7,43.5,5,52,4
Parasitized,1874.5,0,0,0,0
Parasitized,2,75,16,39.5,5.5
Parasitized,142.5,66,8,29.5,2
Parasitized,11532.5,13971,0,0,0
Parasitized,0,19,15,37,1679.5
Parasitized,15,0,135,269,54
Parasitized,30,125.5,16163,0,0
Parasitized,11.5,194.5,94,5.5,320
Parasitized,392.5,13,43,97.5,14515
Parasitized,57,17519,0,0,0
Parasitized,35,13,4,129.5,60
Parasitized,29,2,14,2,1403
Parasitized,140,1984.5,0,0,0
Parasitized,15,0,519,16983.5,0
Parasitized,0.5,7,19,44.5,0
Parasitized,10.5,2,76.5,174,5129.5
Parasitized,1.5,0,0,2,12.5
Parasitized,0,354.5,5528.5,11324,0
Parasitized,180,4107.5,9908.5,0,0
Parasitized,7.5,0.5,3751,2255,0
Parasitized,2,11.5,2,16.5,2
Parasitized,205.5,10311.5,0,0,0
Parasitized,296,244,14923,0,0
Parasitized,0,33.5,29.5,6,73.5
Parasitized,74.5,37.5,4,23.5,337.5
Parasitized,131,17401,0,0,0
Parasitized,336,1163.5,12250.5,0,0
Parasitized,325.5,90,15372.5,0,0
Parasitized,39,56.5,61.5,4,154
Parasitized,11.5,18.5,67,4,114.5
Parasitized,4,171,292.5,15613.5,0
Parasitized,24,16716,0,0,0
Parasitized,127,2,53,242,150.5
Parasitized,17664,0,0,0,0
Parasitized,257.5,37,35.5,161.5,2
Parasitized,7,155,275,16291.5,0
Parasitized,4,49,14876.5,0,0
Parasitized,12022.5,0,0,0,0
Parasitized,352,17624.5,0,0,0
Parasitized,5.5,12457.5,71,0,0
Parasitized,16239.5,0,0,0,0
Parasitized,221,198.5,11907.5,0,0
Parasitized,150,66,165,18158,0
Parasitized,147.5,14938,0,0,0
Parasitized,145,17763.5,0,0,0
Parasitized,318.5,11977.5,0,0,0
Parasitized,307,13108,0,0,0
Parasitized,161,10,7,17762,0
Parasitized,71,180.5,20228,0,0
Parasitized,163,267,11203.5,0,0
Parasitized,298,24756.5,0,0,0
Parasitized,34,18.5,17054.5,0,0
Parasitized,353.5,14644,0,0,0
Parasitized,583.5,12.5,77.5,11.5,244
Parasitized,18770,0,0,0,0
Parasitized,173,101.5,166.5,169,16226.5
Parasitized,161,14045,0,0,0
Parasitized,303,12422.5,0,0,0
Parasitized,80.5,108.5,13901,0,0
Parasitized,7,12322,0,0,0
Parasitized,5.5,4,27,11007,0
Parasitized,226.5,18,12998.5,0,0
Parasitized,296.5,11195.5,0,0,0
Parasitized,8.5,9924,0,0,0
Parasitized,14279.5,0,0,0,0
Parasitized,15715,0,0,0,0
Parasitized,80.5,15366.5,0,0,0
Parasitized,72.5,17489,0,0,0
Parasitized,11179.5,0,0,0,0
Parasitized,16980.5,0,0,0,0
Parasitized,84,15958,0,0,0
Parasitized,50.5,15345.5,0,0,0
Parasitized,33.5,15648,0,0,0
Parasitized,24.5,10009.5,0,0,0
Parasitized,8314,0,0,0,0
Parasitized,14678,0,0,0,0
Parasitized,1,597,15853,0,0
Parasitized,110.5,18237,0,0,0
Parasitized,10395.5,0,0,0,0
Parasitized,152,13498.5,0,0,0
Parasitized,142,13034.5,0,0,0
Parasitized,12319.5,0,0,0,0
Parasitized,149.5,16176,0,0,0
Parasitized,132.5,25.5,18277,0,16.5
Parasitized,15205.5,0,0,0,0
Parasitized,15855.5,0,0,0,0
Parasitized,14016,0,0,0,0
Parasitized,40,19307,0,0,0
Parasitized,160.5,15063.5,0,0,0
Parasitized,70,14503,0,0,0
Parasitized,137.5,16445,0,0,0
Parasitized,18004.5,0,0,0,0
Parasitized,178,13903.5,0,0,0
Parasitized,14418.5,0,0,0,0
Parasitized,128.5,14788.5,0,0,0
Parasitized,97.5,89,17249.5,0,0
Parasitized,123,14569,0,0,0
Parasitized,11,117.5,14619.5,0,0
Parasitized,160,13800.5,0,0,0
Parasitized,170,16700.5,0,0,0
Parasitized,9260,0,0,0,0
Parasitized,465,12872,0,0,0
Parasitized,10301.5,0,0,0,0
Parasitized,14660.5,0,0,0,0
Parasitized,7,16272,0,0,0
Parasitized,2,7,18592.5,0,0
Parasitized,129.5,9942.5,0,0,0
Parasitized,161,11204.5,0,0,0
Parasitized,110.5,16949,0,0,0
Parasitized,268,8526,0,0,0
Parasitized,251,12833.5,0,0,0
Parasitized,131.5,12367,0,0,0
Parasitized,207.5,12760.5,0,0,0
Parasitized,103,110,11389,0,0
Parasitized,166,14584,0,0,0
Parasitized,139.5,15753,0,0,0
Parasitized,129,13244,0,0,0
Parasitized,113.5,11782.5,0,0,0
Parasitized,148,11162.5,0,0,0
Parasitized,129.5,4,166.5,13178.5,0
Parasitized,89,86.5,12155.5,0,0
Parasitized,50,29.5,14423.5,0,0
Parasitized,118,9642.5,0,0,0
Parasitized,239.5,15242,0,0,0
Parasitized,39,132,14977,0,0
Parasitized,61.5,103.5,13493,0,0
Parasitized,145.5,12883.5,0,0,0
Parasitized,158,12830,0,0,0
Parasitized,79,12250,0,0,0
Parasitized,4,70.5,77,11586,0
Parasitized,53.5,53.5,12545.5,0,0
Parasitized,2,2,88,13110.5,0
Parasitized,188.5,14005.5,0,0,0
Parasitized,65,43,13416,0,0
Parasitized,105.5,4,11394,0,0
Parasitized,138.5,11314.5,0,0,0
Parasitized,147,14091.5,0,0,0
Parasitized,166,13227,0,0,0
Parasitized,109,8552,0,0,0
Parasitized,20,101,13922,0,0
Parasitized,146.5,15156.5,0,0,0
Parasitized,181.5,17377.5,0,0,0
Parasitized,152.5,10380.5,0,0,0
Parasitized,99,12727.5,0,0,0
Parasitized,150,16453,0,0,0
Parasitized,131,12629,0,0,0
Parasitized,128,17086,0,0,0
Parasitized,329.5,61.5,12182,0,0
Parasitized,147.5,15567.5,0,0,0
Parasitized,174,30,14805.5,0,0
Parasitized,197.5,14690,0,0,0
Parasitized,133,14597,0,0,0
Parasitized,146.5,15548.5,0,0,0
Parasitized,169.5,13972,0,0,0
Parasitized,18.5,153,16046.5,0,0
Parasitized,115.5,45,15168,0,0
Parasitized,140.5,15861.5,0,0,0
Parasitized,23.5,10389,0,0,0
Parasitized,119,14036.5,0,0,0
Parasitized,123,9194.5,0,0,0
Parasitized,149.5,14995,0,0,0
Parasitized,121,30,15362,0,0
Parasitized,133,11616.5,0,0,0
Parasitized,292,14175,0,0,0
Parasitized,15752,0,0,0,0
Parasitized,107.5,69,11952.5,0,0
Parasitized,66.5,71.5,15244,0,0
Parasitized,97.5,17505.5,0,0,0
Parasitized,156,114.5,11392,0,0
Parasitized,146,16038.5,0,0,0
Parasitized,150,13795,0,0,0
Parasitized,99.5,12064.5,0,0,0
Parasitized,196.5,53.5,35,15630.5,0
Parasitized,0,10375.5,375.5,0,0
Parasitized,15687.5,0,0,0,0
Parasitized,159,15729.5,0,0,0
Parasitized,64,13255.5,0,0,0
Parasitized,176,55.5,17941,0,0
Parasitized,48.5,82,282,194,8056.5
Parasitized,13467,0,0,0,0
Parasitized,75.5,212,15,70,15725
Parasitized,324,58,345.5,10306,0
Parasitized,2,519,40,165.5,10790.5
Parasitized,10,18.5,331.5,253.5,12482
Parasitized,2,267,486,11960.5,0
Parasitized,14958,0,0,0,0
Parasitized,151.5,9330.5,0,0,0
Parasitized,139,786.5,9983,0,0
Parasitized,21,342,13853,0,0
Parasitized,316,17971.5,0,0,0
Parasitized,330.5,40.5,35.5,19,36
Parasitized,180.5,11234.5,0,0,0
Parasitized,80,10379,0,0,0
Parasitized,67,11937.5,0,0,0
Parasitized,131,11007.5,0,0,0
Parasitized,11841,0,0,0,0
Parasitized,148.5,12920,0,0,0
Parasitized,116,10380.5,0,0,0
Parasitized,66,11679,0,0,0
Parasitized,89.5,10494,0,0,0
Parasitized,14128.5,0,0,0,0
Parasitized,9886.5,0,0,0,0
Parasitized,84,9573,0,0,0
Parasitized,100,14050.5,0,0,0
Parasitized,2,13781,0,0,0
Parasitized,16591.5,0,0,0,0
Parasitized,60,10471,0,0,0
Parasitized,135.5,12778.5,0,0,0
Parasitized,65.5,9880.5,0,0,0
Parasitized,10340,0,0,0,0
Parasitized,9277.5,0,0,0,0
Parasitized,9889.5,0,0,0,0
Parasitized,70.5,11514.5,0,0,0
Parasitized,8,10914,0,0,0
Parasitized,100.5,10126.5,0,0,0
Parasitized,61.5,8668.5,0,0,0
Parasitized,209.5,15003,0,0,0
Parasitized,7,9070,0,0,0
Parasitized,67,8999,0,0,0
Parasitized,25.5,8938,0,0,0
Parasitized,68,7058.5,0,0,0
Parasitized,105.5,7747.5,0,0,0
Parasitized,77.5,12192.5,0,0,0
Parasitized,103,12753,0,0,0
Parasitized,78.5,7462.5,0,0,0
Parasitized,77.5,7423.5,0,0,0
Parasitized,18.5,9068.5,0,0,0
Parasitized,72.5,6503.5,0,0,0
Parasitized,27,8226.5,0,0,0
Parasitized,2,4,11149.5,0,0
Parasitized,23.5,12800,0,0,0
Parasitized,12214.5,0,0,0,0
Parasitized,10350,0,0,0,0
Parasitized,7,10638.5,0,0,0
Parasitized,246,11995,0,0,0
Parasitized,23,124,15102.5,0,0
Parasitized,184,13151,0,0,0
Parasitized,152,11632.5,0,0,0
Parasitized,132,12764,0,0,0
Parasitized,153.5,13963.5,0,0,0
Parasitized,43.5,161,13230,0,0
Parasitized,38.5,114,11631.5,0,0
Parasitized,137.5,14212,0,0,0
Parasitized,154,15184.5,0,0,0
Parasitized,180,14195,0,0,0
Parasitized,182,14080.5,0,0,0
Parasitized,2,147.5,14510.5,0,0
Parasitized,10,9697,0,0,0
Parasitized,121.5,13986.5,0,0,0
Parasitized,84.5,14381.5,0,0,0
Parasitized,86.5,13927.5,0,0,0
Parasitized,178,11998,0,0,0
Parasitized,72.5,9617.5,0,0,0
Parasitized,17.5,79,44.5,12813,0
Parasitized,430.5,47.5,53.5,117,12094
Parasitized,21.5,459.5,43,14258,0
Parasitized,80,11.5,197,15951.5,0
Parasitized,137,196,12262,0,0
Parasitized,226,143.5,70,36,16001.5
Parasitized,211.5,149.5,67,19,11242.5
Parasitized,9778.5,0,0,0,0
Parasitized,489,180,632.5,55.5,12255
Parasitized,32,187.5,38,14520,0
Parasitized,411.5,196.5,109,69,35
Parasitized,0,9768,0,0,0
Parasitized,10,11.5,8.5,54,4
Parasitized,736.5,290.5,12864,0,0
Parasitized,189,63.5,10,36.5,145
Parasitized,355,8182.5,0,0,0
Parasitized,29.5,14126,0,0,0
Parasitized,2,12,9681.5,0,0
Parasitized,4,145.5,12799,0,0
Parasitized,10352.5,0,0,0,0
Parasitized,68.5,10192,0,0,0
Parasitized,26,20,179,2,162
Parasitized,138.5,11073.5,0,0,0
Parasitized,4.5,375,13997,0,0
Parasitized,56.5,11409.5,0,0,0
Parasitized,8194,0,0,0,0
Parasitized,10593,0,0,0,0
Parasitized,218.5,252.5,14404.5,0,0
Parasitized,25,8667.5,0,0,0
Parasitized,9206.5,0,0,0,0
Parasitized,104,8950,0,0,0
Parasitized,13124.5,0,0,0,0
Parasitized,328,8396,0,0,0
Parasitized,152,9763,0,0,0
Parasitized,273.5,9842.5,0,0,0
Parasitized,30.5,11829,0,0,0
Parasitized,166,11288.5,0,0,0
Parasitized,13122,0,0,0,0
Parasitized,290,10379,0,0,0
Parasitized,266,16453,0,0,0
Parasitized,19,295,13211.5,0,0
Parasitized,9108,0,0,0,0
Parasitized,174,15436,0,0,0
Parasitized,108.5,12745.5,0,0,0
Parasitized,174.5,8726,0,0,0
Parasitized,151,15159,0,0,0
Parasitized,290,8898.5,0,0,0
Parasitized,196,293.5,14203,0,0
Parasitized,98,16032,0,0,0
Parasitized,247.5,12783,0,0,0
Parasitized,108.5,13324.5,0,0,0
Parasitized,10266.5,0,0,0,0
Parasitized,152,58,12359.5,0,0
Parasitized,209,10342.5,0,0,0
Parasitized,11674.5,0,0,0,0
Parasitized,86,112,10565.5,0,0
Parasitized,58,2,4,35.5,210
Parasitized,137.5,11112.5,0,0,0
Parasitized,64.5,127,12729.5,0,0
Parasitized,100.5,13372,0,0,0
Parasitized,19,14599.5,0,0,0
Parasitized,80,9855,0,0,0
Parasitized,149,230,14222,0,0
Parasitized,11284,0,0,0,0
Parasitized,2,121.5,7,168,11912
Parasitized,7714.5,0,0,0,0
Parasitized,145.5,55.5,11566,0,0
Parasitized,14668.5,0,0,0,0
Parasitized,192,23.5,10200.5,0,0
Parasitized,515,14762,0,0,0
Parasitized,309.5,290,15,10318.5,0
Parasitized,14053,0,0,0,0
Parasitized,142,10777,0,0,0
Parasitized,10298.5,0,0,0,0
Parasitized,218.5,116.5,360.5,9814,0
Parasitized,165,9320.5,0,0,0
Parasitized,107.5,6927.5,0,0,0
Parasitized,11,145.5,141.5,2,2
Parasitized,10961,0,0,0,0
Parasitized,102.5,2,16328.5,0,0
Parasitized,165.5,12465.5,0,0,0
Parasitized,15.5,74,11592.5,0,0
Parasitized,13510.5,0,0,0,0
Parasitized,31,12986.5,0,0,0
Parasitized,244.5,11823.5,0,0,0
Parasitized,51.5,14005.5,0,0,0
Parasitized,17,486.5,11219,0,0
Parasitized,275,16,14558,0,0
Parasitized,181,11074,0,0,0
